,Names,Comments,Dates,IDFather,IDChild,Likes
0,shane_thomas_scholefield,@benjamindonhardtofficial 🤣🤣,9 sem,-1,-1,Responder
1,benjamindonhardtofficial,@shane_thomas_scholefield 😂😂😂😂,9 sem,0,0,Responder
2,layssaandressaa,@marcos_orion2019 atrasada no trabalho 😂😂😂,8 sem,-1,-1,Responder
3,karenhigdon29,@evafgarcia_ o interior do meu eh esse,6 sem,-1,-1,Responder
4,mina.tandis,😮😂,6 sem,-1,-1,Responder
5,arthurguerra72,@andrewthomasus I know a guy,6 sem,-1,-1,Responder
6,andrewthomasus,@arthurguerra72 i can’t help it 🚀 she flies,6 sem,5,0,Responder
7,enlivedufer,#enlivedufer 🎥🚘,4 sem,-1,-1,Responder
8,unapologetically_tayla,@c_williams48,4 sem,-1,-1,1 Me gusta
9,9eglence1,@jkalachian,3 sem,-1,-1,Responder
10,jkalachian,@9eglence1 funny,3 sem,9,0,Responder
11,vi_ttorio,@lida.b79 😋,2 sem,-1,-1,Responder
12,kevinfriesen,@caitlinmymryk,2 sem,-1,-1,Responder
13,myprivatesppam,@dineseb,10 h,-1,-1,1 Me gusta
14,ahmaddiyatucker,Us soon @kimkardashian,4 h,-1,-1,1 Me gusta
15,altmax66,@will_jcb,23 sem,-1,-1,1 Me gusta
16,uzeifa.shair,@iliasse_mussa @muh_.786,23 sem,-1,-1,Responder
17,uzeifa.shair,@_zahra.sofia_,23 sem,-1,-1,Responder
18,tobias_frank_,@oliverisdigital :)),22 sem,-1,-1,Responder
19,steve.reznick,@emrez87,22 sem,-1,-1,1 Me gusta
20,emrez87,@steve.reznick 🔥🔥for real though,22 sem,19,0,Responder
21,daniel_yousif2,@ajofn,22 sem,-1,-1,Responder
22,ajofn,@daniel_yousif2 😂,22 sem,21,0,Responder
23,mate_bianchi,@luchichagas,22 sem,-1,-1,Responder
24,julianguttzeit,@thesupervincent,21 sem,-1,-1,Responder
25,motuharyanvi,hi,21 sem,-1,-1,Responder
26,mirweysahmadi,وای خدا چی میشه یه دونه ازینا داشته باشم,19 sem,-1,-1,Responder
27,blowtokesmoke,@botanicalbookworm,19 sem,-1,-1,Responder
28,botanicalbookworm,@blowtokesmoke don’t see this getting old everrrrrr 😁🏎,19 sem,27,0,Responder
29,sassyneneb,Haaa so me when my hubby is driving,19 sem,-1,-1,1 Me gusta
30,priyank777.official,Paid actors😂😂😂😂😂,28 sem,-1,-1,Responder
31,zimuz,Preparati @90flowers,28 sem,-1,-1,1 Me gusta
32,giovanosso,@leonardousa,26 sem,-1,-1,Responder
33,leonardousa,@giovanosso 🔥🔥🔥,26 sem,32,0,Responder
34,kay_tamara,@suckerfreejoe I do this to you 🤣🤣,26 sem,-1,-1,Responder
35,manuel_rsg,@fabio_kj9,26 sem,-1,-1,Responder
36,fabio_kj9,@manuel_rsg junge soooo gespannt man,26 sem,35,0,Responder
37,zookz88,@elmcfadyen,25 sem,-1,-1,Responder
38,elmcfadyen,@zookz88 gets me every time!!,25 sem,37,0,1 Me gusta
39,cars_and_cars.only,@sampadchaulia,25 sem,-1,-1,Responder
40,teamgreenesports,🙊🙈🙉,24 sem,-1,-1,1 Me gusta
41,kry721,@nicole.f44,24 sem,-1,-1,Responder
42,nicolefreis,@kry721 I love it tho🤩,24 sem,41,0,Responder
43,djloso_official,💦,24 sem,-1,-1,Responder
44,lavell,@drjeffbarczak,24 sem,-1,-1,Responder
45,benmulchandani,@mason_rusk,24 sem,-1,-1,1 Me gusta
46,usc_srt8,@fit_affiliated,30 sem,-1,-1,Responder
47,fit_affiliated,@usc_srt8 lol tats gona be us haha 😄,30 sem,46,0,1 Me gusta
48,usc_srt8,@fit_affiliated 🔥,30 sem,46,1,Responder
49,kolstadgbg,@therese.janerup.kolstad,29 sem,-1,-1,1 Me gusta
50,browndogg04,@__gingervitis_,29 sem,-1,-1,Responder
51,d_mack_13,@rhivnnon,29 sem,-1,-1,Responder
52,sangwoojeon,@encaraduckbae 5년뒤 태워드림,29 sem,-1,-1,Responder
53,17duckbae,@flynn_jeon 이것이 상우의 드림카?,29 sem,52,0,Responder
54,osareme_ekhator,@katietyndalll,29 sem,-1,-1,Responder
55,katietyndalll,@osareme_ekhator lol glad I’m not alone,29 sem,54,0,1 Me gusta
56,kaatieemae,@leeek804 you do this in your charger when I used to ride in it with you. Especially under bridges or taking off from a toll,29 sem,-1,-1,Responder
57,jeremy3carter,@mamahutch2,29 sem,-1,-1,1 Me gusta
58,hkbat7619,@miabatiste_,29 sem,-1,-1,Responder
59,nembidzane,@lodrickmega_slime,28 sem,-1,-1,Responder
60,djdannydmusic,@shay_manshary,28 sem,-1,-1,1 Me gusta
61,jeremy3carter,@makadamianut_96,32 sem,-1,-1,2 Me gusta
62,jeremy3carter,@nathalyvvasquez,32 sem,-1,-1,Responder
63,pushkidsoffbikes_,@emilyghardy,32 sem,-1,-1,1 Me gusta
64,syboum,@manelbelha magicobus,32 sem,-1,-1,1 Me gusta
65,boss.2196,👍👍👍👍,31 sem,-1,-1,1 Me gusta
66,soren_feistel,FREAK FREAKY FREAKSHOW 😉😉😉😉😉😉😉😉😉😉😉,31 sem,-1,-1,1 Me gusta
